LINGO出错时错误代码含义
LINGO出错时错误代码含义：
      在LINGO程序求解时，系统首先会对程序进行编译．系统在编译或执行其他命令
时，会因程序中的错误或运行错误，弹出一个出错报告窗口，显示其错误代码，并简要指
出错误的原因．这些错误报告信息能够提示用户发现程序中的错误，以便能尽快修改．下
面我们给出出错信息的一个简要说明，仅供参考．
LINGO错误编号及原因对照表
错误代码      含义      
53      在电子表格文件中找不到指定的单元范围名称(似乎与出错代码“13”含义类似)      
54      读取电子表格文件时出现错误      
55      @TEXT函数不能打开文件      
56      @TEXT函数读文件时发生错误      
57      @TEXT函数读文件时出现了非法输入数据      
58      @TEXT函数读文件时出现发现输入数据比实际所需要的少      
59      @TEXT函数读文件时出现发现输入数据比实际所需要的多      
60      用@TEXT函数输入数据时，没有指定文件名      
61      行命令拼写错误      
62      LINGO生成模型时工作内存不足      
63      模型的定义不正确      
64      @FOR函数嵌套太多      
65      @WARN函数使用不当      
66      警告：固定变量取值不唯一(例如：任意正数都是约束@SIGN(X)＝l的解)      
67      模型中非零系数过多导致内存耗尽      
68      对字符串进行非法的算术运算      
69      约束中的运算符非法      
70      属性的下标越界      
71      变量定界函数(@GIN，@BIN，@FREE，@BND)使用错误      
72      不能从固定约束(只含有固定变量的约束)中求出固定变量的值(相当于方程无解
，或者LINGO的算法解不出来，如迭代求解算法不收敛)      
73      在LINGO生成模型(对模型进行结构分析)时，用户中断了模型生成过程      
74      变量越界，超出了1032      
75      对变量的定界相互冲突(例如：一个模型中同时指定@BND(-6，X，6)和@BND(-5,X
，5)是允许的，但同时指定@BND(-6，X，6)和@BND(7，X，9)则是冲突的.)      
76      LINGO生成模型时出现错误，不能将模型转交给优化求解程序      
77      无定义的算术运算(例如除数为0)      
78      (该错误编号目前没有使用)          
79      (该错误编号目前没有使用)      
80      生成LINGO模型时系统内存已经用尽      
81      找不到可行解      
82      最优值无界      
83      (该错误编号目前没有使用)      
84      模型中非零系数过多      
85      表达式过于复杂导致堆栈溢出      
86      算术运算错误(如1／0或@LOG(-1)等)      
87      @IN函数使用不当(似乎与错误代码“52”相同)      
88      当前内存中没有存放任何解      
89      LINGO运行时出现了意想不到的错误(请与LINGO公司联系解决问题)      
90      在LINGO生成模型时，用户中断了模型生成过程      
91      当在数据段有“变量＝?”语句时，LINGO运行中将要求用户输人这个变量的值,
如果这个值输入错误，将显示这个错误代码      
92      警告：当前解可能不是可行的／最优的      
93      命令行中的转换修饰词错误      
94      (该错误编号目前没有使用)      
95      模型求解完成前，用户中断了求解过程      
96      (该错误编号目前没有使用)      
97      用TAKE命令输入模型时，出现了不可识别的语法      
98      用TAKE命令输入模型时，出现了语法错误      
99      语法错误，缺少变量      
100      语法错误，缺少常量      
101      (该错误编号目前没有使用)      
102      指定的输出变量名不存在      
103      (该错误编号目前没有使用)      
104      模型还没有被求解，或者模型是空的      
105      (该错误编号目前没有使用)      
106      行宽的最小最大值分别为68和200      
107      函数@POINTER指定的索引值无效      
108      模型的规模超出了当前LINGO版本的限制      
109      达到了迭代上限，所以LINGO停止继续求解模型(迭代上限可以通过
“LING0|0ptions”命令对General Solver选项卡中的“Iteration”选项进行修改)      
110      HIDE(隐藏)命令指定的密码超出了8个字符的限制      
111      模型是隐藏的，所以当前命令不能使用      
112      恢复隐藏模型时输入的密码错误      
113      因为一行内容太长，导致LOOK或SAVE命令失败      
114      HIDE(隐藏)命令指定的两次密码不一致，命令失败      
115      参数列表过长      
116      文件名(包括路径名)太长      
117      无效的命令      
118      命令不明确(例如，可能输入的是命令的缩写名，而这一缩写可有多个命令与之
对应)      
119      命令脚本文件中的错误太多，LINGO放弃对它继续处翠      
120      LINGO无法将配置文件(LINGO．CNF)写入启动目录或工作目录(可能是权限问题)      
121      整数规划没有敏感性分析      
122      敏感性分析选项没有激活，敏感性分析不能进行(可通过“LINGO|Options”命令
对General Solver选项卡中的“Dual Computation”选项进行修改)      
123      调试(Debug)命令只对线性模型、且模型不可行或无界时才能使用      
124      对一个空集合的属性进行初始化      
125      集合中没有元素      
126      使用ODBC连接输出时，发现制定的输出变量名不存在      
127      使用ODBC连接输出时，同时输出的变量的维数必须相同      
128      使用SET命令时指定的参数索弓I无效      
129      使用SET命令时指定的参数的取值无效      
130      使用SET命令时指定的参数名无效      
131      FREEZE命令无法保存配置文件LINGO．CNF(可能是权限问题)      
132      LINGO读配置文件(LINGO．CNF)时发生错误      
133      LINGO无法通过OLE连接电子表格文件(如：当其他人正在编辑这个文件时)      
134      输出时出现错误，不能完成所有输出操作      
135      求解时间超出了限制(可通过“LING0|0ptions”命令对General Solver选项卡中
的“Time”选项进行修改)      
136      使用@TEXT函数输出时出现错误操作      
137      (该错误编号目前没有使用)      
138      DIVERT(输出重新定向)命令的嵌套次数太多(最多不能超过10次嵌套)      
139      DIVERT(输出重新定向)命令不能打开指定文件      
140      只求原始最优解时无法给出敏感性分析信息(可通过“LING0|0ptions”命令对
General Solver选项卡中的“Dual Computation”选项进行修改)      
141      对某行约束的敏感性分析无法进行，因为这一行已经是固定约束(即该约束中所
有变量都已经在直接求解程序进行预处理时被固定下来了)      
142      出现了意想不到的错误(请与LINDO公司联系解决这个问题)      
143      使用接口函数输出时，同时输出的对象的维数必须相同      
144      @POINTER函数的参数列表无效      
145      @POINTER函数出错：2-输出变量无效；3-内存耗尽；4-只求原始最优解时无法给
出敏感性分析信息；5-对固定行无法给出敏感性分析信息；6-意想不到的错误．      
146      基本集合的元素名与模型中的变量名重名(当前版本的LINGO中这本来是允许的，
但如果通过“LING0|0ptions”命令在“General Solver”选项卡选择“Check for
duplicates names in data and model”，则会检查重名，这主要是为了与以前的LINGO
版本兼容)      
147      @WARN函数中的条件表达式中只能包含固定变量      
148      @OLE函数在当前操作系统下不能使用(只在Windows操作系统下可以使用)      
149      (该错误编号目前没有使用)      
150      @ODBC函数在当前操作系统下不能使用(只在Windows操作系统下可以使用)      
151      @POINTER函数在当前系统下不能使用(只在Windows操作系统下可以使用)      
152      输入的命令在当前操作系统下不能使用      
153      集合的初始化(定义元素)不能在初始段中进行，只能在集合段或数据段进行      
154      集合名只能被定义一次      
155      在数据段对集合进行初始化(定义元素)时，必须显示地列出所有元素，不能省略
元素      
156      在数据段对集合和(或)变量进行初始化时，给出的参数个数不符      
157      @INDEX函数引用的集合名不存在      
158      当前函数需要集合的成员名作为参数      
159      派生集合中的一个成员(分量)不是对应的父集合的成员      
160      数据段中的一个语句不能对两个(或更多)的集合进行初始化(定义元素)      
161      (该错误编号目前没有使用)      
162      电子表格文件中指定的单元范围内存在不同类型的数据(即有字符，又有数值)，
LINGO无法通过这些单元同时输入(或输出)不同类型的数据      
163      在初始段对变量进行初始化时，给出的参数个数不符      
164      模型中输入的符号名不符合LINGO的命名规则      
165      当前的输出函数不能按集合进行输出      
166      不同长度的输出对象无法同时输出到表格型的文件(如数据库和文本文件)      
167      在通过Excel进行输入输出时，一次指定了多个单元范围      
168      @DUAL，@RANGEU，@RANGED函数不能对文本数据(如集合的成员名)使用，而只能
对变量和约束行使用      
169      运行模型时才输入集合成员是不允许的      
170      LINGO系统的密码输入错误，请重新输入      
171      LINGO系统的密码输入错误，系统将以演示版方式运行      
172      LINGO的内部求解程序发生了意想不到的错误(请与LINDO公司联系解决这个问题)      
173      内部求解程序发生了数值计算方面的错误      
174      LINGO预处理阶段(preprocessing)内存不足      
175      系统的虚拟内存不足      
176      LINGO后处理阶段(postprocessing)内存不足      
177      为集合分配内存时出错(如内存不足等)      
178      为集合分配内存时堆栈溢出      
179      将MPS格式的模型文件转化成LINGO模型文件时出现错误(如变量名冲突等)      
180      将MPS格式的模型文件转化成LINGO模型文件时，不能分配内存(通常是内存不足)      
181      将MPS格式的模型文件转化成LINGO模型文件时，不能生成模型(通常是内存不足)      
182      将MPS格式的模型文件转化成LINGO模型文件时出现错误(会给出出错的行号)      
183      LINGO目前不支持MPS格式的二次规划模型文件      
184      敏感性分析选项没有激活，敏感性分析不能进行(可通过“LINGO|Options”命令
对General Solver选项卡中的“Dual Computation”选项进行修改)      
185      没有使用内点法的权限(LINGO中的内点法是选件，需要额外购买)      
186      不能用@QRAND函数对集合进行初始化(定义元素)      
187      用@QRAND函数对属性进行初始化时，一次只能对一个属性进行处理      
188      用@QRAND函数对属性进行初始化时，只能对稠密集合对应的属性进行处理      
189      随机函数中指定的种子(SEED)无效      
190      用隐式方法定义集合时，定义方式不正确      
191      LINDOAPI返回了错误(请与LINDO公司联系解决这个问题)      
192      LINGO不再支持@WKX函数，请改用@OLE函数      
193      内存中没有当前模型的解(模型可能还没有求解，或者求解错误)      
194      无法生成LINGO的内部环境变量(通常是因为内存不足)      
195      写文件时出现错误(如磁盘空间不足)      
196      无法为当前模型计算对偶解(这个错误非同寻常，欢迎你将这个模型提供给LINDO
公司进行进一步分析)      
197      调试程序目前不能处理整数规划模型      
198      当前二次规划模型不是凸的，不能使用内点法，请通过“LINGO[Options，’命
令取消对二次规划的判别      
199      求解二次规划需要使用内点法，但您使用的LINGO版本没有这个权限(请通过
“LINGO|Options”命令取消对二次规划的判别)      
200      无法为当前模型计算对偶解，请通过“LINGO|Options”命令取消对对偶计算的
要求      
201      模型是局部不可行的      
202      全局优化时，模型中非线性变量的个数超出了全局优化求解程序的上限      
203      无权使用全局优化求解程序      
204        无权使用多初始点求解程序      
205        模型中的数据不平衡(数量级差异太大)      
206        “线性化”和“全局优化”两个选项不能同时存在      
207        缺少左括号      
208        @WRITEFOR函数只能在数据段出现      
209        @WRITEFOR函数中不允许出现关系运算符      
210        @WRITEFOR函数使用不当      
211      输出操作中出现了算术运算错误      
212      集合的下标越界      
213      当前操作参数不应该是文本，但模型中指定的是文本      
214      多次对同一个变量初始化      
215      @DUAL，@RANGEU，@RANGED函数不能在此使用(参阅错误代码“168”)      
216      这个函数应该需要输入文本作为参数      
217      这个函数应该需要输入数值作为参数      
218      这个函数应该需要输入行名或变量名作为参数      
219      无法找到指定的行      
220      没有定义的文本操作      
221      @WRITE或@WRITEFOR函数的参数溢出      
222      需要指定行名或变量名      
223      向Excel文件中写数据时，动态接收单元超出了限制      
224      向Excel文件中写数据时，需要写的数据的个数多于指定的接收单元的个数      
225      计算段(CALC)的表达式不正确      
226      不存在默认的电子表格文件，请为@OLE函数指定一个电子表格文件      
227      为APISET命令指定的参数索引不正确      
228      通过Excel输入输出数据时，如果LINGO中的多个对象对应于Excel中的名，则列
数应该一致      
229      为APISET命令指定的参数类型不正确      
230      为APISET命令指定的参数值不正确      
231      APISET命令无法完成      
232      (该错误编号目前没有使用)      
1000      (错误编号为1000以上的信息，只对Windows系统有效)      
1001      LINGO找不到与指定括号匹配的括号      
1002      当前内存中没有模型，不能求解      
1003      LINGO现在正忙，不能马上响应您的请求      
1004      LINGO不能写LOG(日志)文件，也许磁盘已满      
1005      LINGO不能打开指定的LOG(日志)文件      
1006      不能打开文件      
1007      没有足够内存完成命令      
1008      不能打开新窗口(可能内存不够)      
1009      没有足够内存空间生成解答报告      
1010      不能打开Excel文件的链接(通常是由于系统资源不足)      
1011      LINGO不能完成对图形的请求      
1012      LINGO与ODBC连接时出现错误      
1013      通过OBDC传递数据时不能完成初始化      
1014      向Excel文件传递数据时，指定的参数不够      
1015      不能保存文件      
1016      Windows环境下不支持Edit命令，请使用File|Open菜单命令      
1017      lingo出现1017代码错误，一程序有错，二软件版本有问题。请更换软件版本后再进行调试查错。
9999      由于出现严重错误，优化求解程序运行失败（最可能的原因是数学函数出错，如
函数@LOG(X-1)当X<=1时就会出现这类错误）     
